0b ea 37 ff 15 fd d6 ef fd ff bc 00 1a ff fa 00 
0b d8 d6 ff 1a fd cb f0 0d ff bd 00 18 ff fa 00 
0b cc a0 ff 1b fd ce f0 18 ff be 00 1a ff f8 00 
0b c2 45 ff 18 fd db f0 09 ff ba 00 19 ff f9 00 
0b b5 9a ff 1c fd d7 ef f8 ff ba 00 1a ff fa 00 
0b b0 bc ff 23 fd d4 ef fd ff bd 00 1b ff fd 00 
0b a6 b8 ff 26 fd d2 f0 05 ff bc 00 1b ff fb 00 
0b a3 e2 ff 1b fd c1 ef eb ff be 00 19 ff fc 00 
0b a0 70 ff 1c fd dc ef ef ff bb 00 17 ff fb 00 
0b 9c 4d ff 1b fd d7 f0 00 ff be 00 18 ff fb 00 
0b 9f b5 ff 1f fd de f0 12 ff be 00 1a ff fc 00 
0b 9c 7c ff 1b fd ce ef fb ff bc 00 1c ff fb 00 
0b a1 99 ff 1f fd d0 f0 03 ff bd 00 1a ff fb 00 
0b a4 08 ff 11 fd d1 f0 06 ff bd 00 19 ff fc 00 
0b a5 6f ff 26 fd c9 ef f2 ff bd 00 19 ff fd 00 
0b ac d8 ff 24 fd d8 ef f4 ff bc 00 1c ff fd 00 
0b ac 3b ff 2d fd ef f0 1b ff be 00 19 ff fc 00 
0b b4 34 ff 18 fd c7 f0 01 ff be 00 1b ff f9 00 
0b b4 92 ff 1f fd bf ef e9 ff bf 00 19 ff f8 00 
0b b6 23 ff 2a fd c3 ef fa ff bd 00 19 ff f9 00 
0b ba e9 ff 1c fd cf ef ee ff bc 00 18 ff fd 00 
0b b8 8b ff 1b fd d9 ef ee ff bd 00 1a ff fd 00 
0b bf d3 ff 1b fd da ef f6 ff be 00 1a ff fb 00 
0b bd 13 ff 1b fd cf ef ec ff bc 00 1b ff fb 00 
0b c0 37 ff 33 fd de f0 07 ff bd 00 1b ff fd 00 
0b c5 f5 ff 14 fd d6 f0 06 ff bd 00 19 ff fb 00 
0b c5 81 ff 1b fd c8 f0 1a ff be 00 16 ff ff 00 
0b ce 4b ff 0e fd d8 ef ed ff bd 00 17 ff fe 00 
0b cd cf ff 13 fd d4 ef ee ff bb 00 19 ff fd 00 
0b d4 6e ff 19 fd cd ef fc ff bd 00 18 ff fc 00 
0b db 19 ff 13 fd c8 ef fd ff bd 00 16 ff fb 00 
0b dc c3 ff 17 fd d3 f0 0d ff be 00 17 ff fb 00 
0b e5 af ff 17 fd e5 f0 0a ff bb 00 18 ff fc 00 
0b e3 e6 ff 29 fd d1 ef f2 ff b8 00 1b ff fd 00 
0b e9 ba ff 1b fd c0 ef e5 ff bc 00 1a ff fb 00 
0b ed a8 ff 1a fd c4 ef eb ff bd 00 18 ff fa 00 
0b ee b5 ff 1b fd dc ef ef ff bb 00 17 ff fb 00 
0b f6 e7 ff 20 fd c9 f0 01 ff b8 00 18 ff fc 00 
0b f4 93 ff 29 fd df ef f2 ff bd 00 18 ff fb 00 
